聲量：台積電,聲量：元大證券,聲量：鴻海,聲量：聯發科,成交股數,成交筆數,大戶與散戶比例,指數：TW_Close,指數：TW_Volume,指數：NASDAQ_Close,指數：NASDAQ_Volume,指數：DOW_Close,指數：DOW_Volume,指數：SP_Close,指數：SP_Volume,三大法人：外陸資買賣超股數(不含外資自營商),三大法人：投信買賣超股數,三大法人：自營商買賣超股數,淨值(元)
0.16981247147526637,0.2769255643575668,0.2769255643575671,-0.1324477100490704,-0.28064794097503043,-0.24479919747562975,-0.06945473083128399,-0.07259599979350997,-0.6719763889379563,0.6219509589996781,-0.16533564034842743,0.10157928202543029,-0.8618776107078944,0.8907668140206542,-0.32939681713181374,0.5027532698293414,-0.2828054830440417,0.3719329992737013,-0.3159262245137804
-0.8536207266959575,0.8156384243774532,0.0,-0.815218419820245,0.13246067374201898,-0.07748582354108254,0.7555542334353615,0.03310475673926306,0.5849607966656196,-0.4853972806159511,-0.44966115955986874,-0.07226403265730524,0.9210707215757346,-0.9225554817815071,0.1814261414854181,-0.2335132438493869,0.0,0.6022971157770847,0.30006664225299723
-0.41015046715883763,0.5551955868361179,-0.4637909597989696,-0.28778341566916865,0.553867061771802,0.5555483778736134,0.3999370027310488,-0.6905659631644452,0.5120837633265106,-0.5479903564278015,0.5631472402649899,-0.7420666320027951,0.7652650676621274,-0.6964842196674569,0.7232553164766677,-0.008413117674399211,0.0,-0.5202531590029675,-0.7118026551105467
0.9282956477738415,-0.956398233292576,-0.2125118592516162,0.935515842315246,-0.2654061009707993,-0.4176611259378086,0.33400650312279356,-0.6995167510819287,0.2746754363600073,0.80370280108175,-0.0799513827982073,0.7311108231028067,0.9634433219360059,0.7406400224021178,-0.7846486689860073,-0.5482023485687837,-0.6563936960635877,-0.04425668309422377,-0.8998732775726701
-0.6416372180714095,0.0,-0.5216874281042242,0.0027823567860043113,-0.2191593872421533,-0.30664742897019637,0.14226098720723723,-0.4475344132890713,-0.35646104035748,0.008159313474652923,-0.01941003929041114,0.15635060694458594,0.7246592897092984,0.25672463864219175,0.3608017640057255,0.15109745691351892,-0.10404013800133813,0.26413215698116427,-0.6537275933256325
0.8597030214912159,0.0,0.7726316847122695,0.3813753386238139,0.5879171582745195,0.5891592278385595,0.5923226919377285,0.6202902790757139,0.46178480534382205,0.7200084769042541,0.48748486747865977,0.5359924899034644,0.6529437353171457,0.6641089976378086,0.7316948297907971,0.584433813621767,0.19156198835438953,0.4980282680245081,0.5326874731566196
0.6573396413433995,0.0,-0.815848923674231,0.8604656057847369,-0.21740002167379677,0.0428581545926062,-0.5134840880868702,0.4549598881296358,-0.27337900727950176,-0.35262769816049516,0.3670356209811279,-0.9078019713158978,0.1716282746847581,-0.7593157616237657,-0.028359726349102252,-0.4163163897681688,0.34547544530359564,0.04403161722831183,0.7560653398821857
-0.14728365831680992,0.0,0.14072996419225756,-0.42731239119910003,-0.18562332575919008,-0.46833970415341386,0.16015752513733494,-0.9630349959843095,-0.1872441840678353,0.3269747432113787,-0.5873274882862204,0.558631664540145,-0.2855808967566098,0.5108541731694081,-0.43420579248902674,0.8226043373235965,0.8299478004706651,0.7857246604810897,-0.684241384233063
0.3408566776604071,0.26074223186151235,0.11816223728959722,0.06857695763950426,0.2950304939734504,0.7966938550253082,-0.2493107288262849,-0.6656589784898997,-0.06718923491499756,0.783845429387048,-0.6762879970088742,0.4600030110707886,-0.6995216108378643,0.9845482751846745,-0.6371160431073207,-0.38521636029102574,0.02247104585816923,-0.5358911105474015,-0.40348082102489224
-0.01879650834838398,0.08068646417467011,0.3294214279136915,0.306660520966347,0.023700526381460384,0.47846826939971837,-0.856769740611134,-0.014058719624630334,-0.026806753383194094,0.16373969116810572,0.15073609890769826,-0.16903733370056506,0.36974075819483576,0.046993553036135303,0.1954001226038876,-0.13618899375201388,0.5652297994804163,-0.47109601781567656,-0.20706430686547717
-0.5507101308481822,-0.6738636653727028,-0.6730862164057003,0.6730862164056995,0.7711667925295992,0.4000944071378339,0.35498816548161877,0.4443638721563716,0.15588430521659916,0.708269510374193,0.2977596350546564,0.589976382521041,0.2839769222195753,0.6705943486425463,0.2500022114566683,0.16162234912343998,-0.5328340065845837,0.9564726355393186,-0.2713777249140182
